Name;GSM3711329_WT1_NT;GSM3711330_WT2_NT;GSM3711331_WT3_NT;GSM3711332_WT1_Dox;GSM3711334_WT3_Dox;GSM3711335_LOF8_NT;GSM3711336_LOF11_NT;GSM3711337_LOF15_NT;GSM3711338_LOF8_Dox;GSM3711339_LOF11_Dox;GSM3711340_LOF15_Dox;GSM3711333_WT2_Dox;
Olfr159;0;0;0;0;0;0;0;0;0;0;0;0;0
Olfr29-ps1;0;0;0;0;0;0;0;0;0;0;0;0;0
Olfr156;0;0;0;0;0;0;0;0;0;0;0;0;0
Olfr157;2;0;0;0;0;2;0;0;0;0;2;0;0
Olfr155;0;0;0;0;0;0;0;0;0;0;0;0;0
Reck;194;183;345;315;291;194;183;345;315;291;194;183;345
Glipr2;1749;797;1853;1561;1643;1749;797;1853;1561;1643;1749;797;1853
Ccin;1;0;1;3;0;1;0;1;3;0;1;0;1
Clta;4359;4348;7760;4386;5517;4359;4348;7760;4386;5517;4359;4348;7760
Gne;700;763;1314;801;1288;700;763;1314;801;1288;700;763;1314
Rnf38;1519;1533;2517;1870;2017;1519;1533;2517;1870;2017;1519;1533;2517
Melk;3731;4277;6558;3763;3736;3731;4277;6558;3763;3736;3731;4277;6558
Pax5;9;6;17;17;15;9;6;17;17;15;9;6;17
4930517J16Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
5730488B01Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Zcchc7;1118;1089;1781;1100;1021;1118;1089;1781;1100;1021;1118;1089;1781
Grhpr;923;1406;2026;812;1500;923;1406;2026;812;1500;923;1406;2026
Zbtb5;306;354;696;390;446;306;354;696;390;446;306;354;696
Polr1e;1431;1720;3057;1608;1740;1431;1720;3057;1608;1740;1431;1720;3057
Fbxo10;119;294;314;149;238;119;294;314;149;238;119;294;314
Tomm5;2441;2376;4574;1860;2792;2441;2376;4574;1860;2792;2441;2376;4574
Frmpd1;138;42;86;320;54;138;42;86;320;54;138;42;86
Trmt10b;503;587;829;632;665;503;587;829;632;665;503;587;829
Exosc3;1197;1338;2463;917;1187;1197;1338;2463;917;1187;1197;1338;2463
Dcaf10;477;455;858;524;417;477;455;858;524;417;477;455;858
Slc25a51;1369;1364;2479;1217;1475;1369;1364;2479;1217;1475;1369;1364;2479
Shb;338;383;1035;416;761;338;383;1035;416;761;338;383;1035
Aldh1b1;118;165;317;136;318;118;165;317;136;318;118;165;317
Igfbpl1;40;203;352;62;231;40;203;352;62;231;40;203;352
Stra6l;5;8;20;10;22;5;8;20;10;22;5;8;20
Ccdc180;1;7;4;2;1;1;7;4;2;1;1;7;4
Tdrd7;79;31;81;38;68;79;31;81;38;68;79;31;81
Tmod1;13;0;0;12;0;13;0;0;12;0;13;0;0
Tstd2;1229;1489;2535;1211;1767;1229;1489;2535;1211;1767;1229;1489;2535
Ncbp1;4569;5736;9883;3868;5456;4569;5736;9883;3868;5456;4569;5736;9883
Xpa;187;105;257;190;196;187;105;257;190;196;187;105;257
Foxe1;0;3;5;2;1;0;3;5;2;1;0;3;5
Trmo;249;267;350;202;251;249;267;350;202;251;249;267;350
Hemgn;0;1;0;0;0;0;1;0;0;0;0;1;0
Anp32b;21778;23767;38878;18836;21401;21778;23767;38878;18836;21401;21778;23767;38878
Nans;2405;2808;4003;2310;2993;2405;2808;4003;2310;2993;2405;2808;4003
Trim14;78;36;93;144;64;78;36;93;144;64;78;36;93
Coro2a;213;213;308;256;162;213;213;308;256;162;213;213;308
Tbc1d2;240;322;657;617;834;240;322;657;617;834;240;322;657
Gabbr2;4;4;11;4;4;4;4;11;4;4;4;4;11
Anks6;38;50;93;17;9;38;50;93;17;9;38;50;93
Galnt12;131;135;252;79;78;131;135;252;79;78;131;135;252
Col15a1;0;0;4;8;3;0;0;4;8;3;0;0;4
Tgfbr1;1012;1055;1776;1237;1365;1012;1055;1776;1237;1365;1012;1055;1776
Alg2;723;1040;1930;975;1212;723;1040;1930;975;1212;723;1040;1930
Sec61b;1115;1900;3081;1151;2238;1115;1900;3081;1151;2238;1115;1900;3081
Gm38343;1;0;0;0;0;1;0;0;0;0;1;0;0
Nr4a3;5;0;12;3;6;5;0;12;3;6;5;0;12
Stx17;220;188;347;246;216;220;188;347;246;216;220;188;347
Erp44;960;1120;1866;1080;1174;960;1120;1866;1080;1174;960;1120;1866
Invs;93;128;279;122;175;93;128;279;122;175;93;128;279
Tex10;6041;7021;11937;5638;6945;6041;7021;11937;5638;6945;6041;7021;11937
Msantd3;964;1327;2358;1084;1862;964;1327;2358;1084;1862;964;1327;2358
Tmeff1;2912;2219;3553;3130;3666;2912;2219;3553;3130;3666;2912;2219;3553
Cavin4;121;88;193;121;208;121;88;193;121;208;121;88;193
Plppr1;79;158;202;145;223;79;158;202;145;223;79;158;202
Acnat2;0;0;0;0;0;0;0;0;0;0;0;0;0
Acnat1;31;57;75;38;35;31;57;75;38;35;31;57;75
Baat;2;6;7;2;2;2;6;7;2;2;2;6;7
Mrpl50;2397;2666;4349;2053;2138;2397;2666;4349;2053;2138;2397;2666;4349
Zfp189;233;295;443;263;305;233;295;443;263;305;233;295;443
Aldob;0;23;0;1;0;0;23;0;1;0;0;23;0
Tmem246;47;120;244;26;112;47;120;244;26;112;47;120;244
Rnf20;1964;2867;4324;2518;3088;1964;2867;4324;2518;3088;1964;2867;4324
Grin3a;9;2;8;4;8;9;2;8;4;8;9;2;8
Ppp3r2;0;0;0;0;0;0;0;0;0;0;0;0;0
Cylc2;0;0;0;0;0;0;0;0;0;0;0;0;0
Smc2;7583;8698;12291;8267;8904;7583;8698;12291;8267;8904;7583;8698;12291
Vma21-ps;0;0;0;0;0;0;0;0;0;0;0;0;0
Toporsl;0;0;0;0;0;0;0;0;0;0;0;0;0
Olfr275;0;2;0;0;0;0;2;0;0;0;0;2;0
Olfr273;0;0;0;0;0;0;0;0;0;0;0;0;0
Olfr272;0;0;0;0;0;0;0;0;0;0;0;0;0
Olfr271-ps1;0;0;0;0;0;0;0;0;0;0;0;0;0
Olfr270;0;0;0;0;0;0;0;0;0;0;0;0;0
Nipsnap3a;1;0;5;0;0;1;0;5;0;0;1;0;5
Nipsnap3b;839;905;1283;820;981;839;905;1283;820;981;839;905;1283
Abca1;906;718;752;1108;1274;906;718;752;1108;1274;906;718;752
Slc44a1;2376;1884;2630;3788;3613;2376;1884;2630;3788;3613;2376;1884;2630
Fsd1l;700;723;1388;1095;1173;700;723;1388;1095;1173;700;723;1388
Fktn;762;869;1511;891;1160;762;869;1511;891;1160;762;869;1511
Tal2;10;29;67;33;48;10;29;67;33;48;10;29;67
Tmem38b;662;383;650;951;880;662;383;650;951;880;662;383;650
Zfp462;3332;5195;8205;3313;8809;3332;5195;8205;3313;8809;3332;5195;8205
Rad23b;13585;14164;24811;14203;16303;13585;14164;24811;14203;16303;13585;14164;24811
Klf4;1760;2231;1892;1976;3590;1760;2231;1892;1976;3590;1760;2231;1892
Actl7b;0;1;2;1;1;0;1;2;1;1;0;1;2
Gm26657;0;0;0;0;0;0;0;0;0;0;0;0;0
Actl7a;0;0;0;0;0;0;0;0;0;0;0;0;0
Ikbkap;5366;6334;10931;5374;6901;5366;6334;10931;5374;6901;5366;6334;10931
Fam206a;248;480;830;393;424;248;480;830;393;424;248;480;830
Ctnnal1;5332;2593;4645;7675;4944;5332;2593;4645;7675;4944;5332;2593;4645
Tmem245;2139;1541;2961;2379;2489;2139;1541;2961;2379;2489;2139;1541;2961
Frrs1l;45;19;47;68;38;45;19;47;68;38;45;19;47
Epb41l4b;331;331;475;715;519;331;331;475;715;519;331;331;475
Ptpn3;3017;3131;5432;3293;3575;3017;3131;5432;3293;3575;3017;3131;5432
Palm2;1;4;5;2;3;1;4;5;2;3;1;4;5
Pakap;72;60;103;64;89;72;60;103;64;89;72;60;103
Akap2;89;60;109;160;283;89;60;109;160;283;89;60;109
D630039A03Rik;19;77;73;28;25;19;77;73;28;25;19;77;73
Txn1;8264;10233;17856;7674;12140;8264;10233;17856;7674;12140;8264;10233;17856
Txndc8;0;0;0;0;0;0;0;0;0;0;0;0;0
Svep1;0;3;6;0;0;0;3;6;0;0;0;3;6
Musk;1;0;0;0;0;1;0;0;0;0;1;0;0
Lpar1;266;483;508;282;416;266;483;508;282;416;266;483;508
Olfr267;0;0;0;2;0;0;0;0;2;0;0;0;0
AI314180;2638;2624;5411;1521;1437;2638;2624;5411;1521;1437;2638;2624;5411
Zkscan16;67;110;145;67;102;67;110;145;67;102;67;110;145
Ptgr1;1643;1398;2468;1760;1571;1643;1398;2468;1760;1571;1643;1398;2468
Dnajc25;67;52;108;41;68;67;52;108;41;68;67;52;108
Gm20503;2;3;15;0;12;2;3;15;0;12;2;3;15
Gng10;7;12;23;5;21;7;12;23;5;21;7;12;23
AI481877;66;35;105;59;15;66;35;105;59;15;66;35;105
Ugcg;1215;1096;1837;1321;818;1215;1096;1837;1321;818;1215;1096;1837
Susd1;206;142;284;280;176;206;142;284;280;176;206;142;284
Ptbp3;3444;2263;3416;4393;2926;3444;2263;3416;4393;2926;3444;2263;3416
Hsdl2;285;327;538;650;502;285;327;538;650;502;285;327;538
E130308A19Rik;988;1060;1620;922;1267;988;1060;1620;922;1267;988;1060;1620
Inip;1215;1684;2477;1743;1973;1215;1684;2477;1743;1973;1215;1684;2477
Snx30;896;1057;1551;1061;1659;896;1057;1551;1061;1659;896;1057;1551
Slc46a2;0;1;1;0;0;0;1;1;0;0;0;1;1
Mup4;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup6;124;276;576;118;386;124;276;576;118;386;124;276;576
Mup7;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup2;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup8;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup9;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup1;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup10;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup11;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup12;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm21320;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup13;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup14;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup15;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup16;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup17;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup18;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup19;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup5;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup20;0;0;0;0;0;0;0;0;0;0;0;0;0
Mup3;0;1;0;0;0;0;1;0;0;0;0;1;0
Mup21;0;0;0;0;0;0;0;0;0;0;0;0;0
Zfp37;387;382;656;414;381;387;382;656;414;381;387;382;656
Slc31a2;298;218;428;490;585;298;218;428;490;585;298;218;428
Fkbp15;971;1238;1987;1200;1628;971;1238;1987;1200;1628;971;1238;1987
Slc31a1;1285;1259;1704;1198;1287;1285;1259;1704;1198;1287;1285;1259;1704
Cdc26;806;1140;1939;855;1140;806;1140;1939;855;1140;806;1140;1939
Prpf4;3638;4703;8060;4067;5050;3638;4703;8060;4067;5050;3638;4703;8060
Rnf183;3;1;0;17;0;3;1;0;17;0;3;1;0
Wdr31;1169;985;1604;889;903;1169;985;1604;889;903;1169;985;1604
Bspry;816;744;1457;572;672;816;744;1457;572;672;816;744;1457
Hdhd3;57;67;91;46;55;57;67;91;46;55;57;67;91
Alad;1024;1572;3221;1493;2474;1024;1572;3221;1493;2474;1024;1572;3221
Pole3;1173;1770;2721;1167;1527;1173;1770;2721;1167;1527;1173;1770;2721
4933430I17Rik;48;41;62;79;49;48;41;62;79;49;48;41;62
Rgs3;344;292;548;403;411;344;292;548;403;411;344;292;548
Zfp618;77;273;532;59;180;77;273;532;59;180;77;273;532
Ambp;1;42;0;0;1;1;42;0;0;1;1;42;0
Kif12;0;1;1;0;2;0;1;1;0;2;0;1;1
Col27a1;33;81;239;44;43;33;81;239;44;43;33;81;239
Orm1;0;0;0;1;0;0;0;0;1;0;0;0;0
Orm3;0;0;0;0;0;0;0;0;0;0;0;0;0
Orm2;0;0;0;0;0;0;0;0;0;0;0;0;0
Akna;385;528;802;334;619;385;528;802;334;619;385;528;802
Whrn;271;303;596;242;302;271;303;596;242;302;271;303;596
Atp6v1g1;2033;1806;3397;1437;1831;2033;1806;3397;1437;1831;2033;1806;3397
Tmem268;236;341;505;215;338;236;341;505;215;338;236;341;505
Gm11213;0;1;0;0;0;0;1;0;0;0;0;1;0
Tex48;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm11214;1;0;0;0;1;1;0;0;0;1;1;0;0
Tnfsf15;0;0;0;0;0;0;0;0;0;0;0;0;0
Tnfsf8;0;0;0;0;0;0;0;0;0;0;0;0;0
Tnc;2;3;12;21;6;2;3;12;21;6;2;3;12
Pappa;0;1;1;1;0;0;1;1;1;0;0;1;1
Astn2;20;16;67;10;19;20;16;67;10;19;20;16;67
Trim32;623;774;1341;629;857;623;774;1341;629;857;623;774;1341
Tlr4;505;1301;1761;527;1369;505;1301;1761;527;1369;505;1301;1761
Brinp1;41;47;85;50;45;41;47;85;50;45;41;47;85
Cdk5rap2;2630;3110;5666;3226;4832;2630;3110;5666;3226;4832;2630;3110;5666
Megf9;94;153;142;90;57;94;153;142;90;57;94;153;142
Gm11232;0;0;0;0;0;0;0;0;0;0;0;0;0
Tle1;1040;1249;1680;855;1333;1040;1249;1680;855;1333;1040;1249;1680
Aldoart1;0;0;4;0;1;0;0;4;0;1;0;0;4
Gm11487;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm11238;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm11237;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm11236;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm11239;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm428;0;0;0;0;0;0;0;0;0;0;0;0;0
Rasef;90;140;304;93;67;90;140;304;93;67;90;140;304
Gm11758;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm11757;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13871;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm11756;0;0;0;0;0;0;0;0;0;0;0;0;0
2310002L09Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Frmd3;18;38;63;12;21;18;38;63;12;21;18;38;63
Kdm4c;6724;4817;7699;4284;5122;6724;4817;7699;4284;5122;6724;4817;7699
Dmac1;657;829;1494;509;890;657;829;1494;509;890;657;829;1494
Ptprd;23;29;89;20;65;23;29;89;20;65;23;29;89
Tyrp1;0;0;0;4;2;0;0;0;4;2;0;0;0
Lurap1l;45;24;77;45;111;45;24;77;45;111;45;24;77
Mpdz;522;964;1904;374;556;522;964;1904;374;556;522;964;1904
Nfib;385;437;505;567;493;385;437;505;567;493;385;437;505
Zdhhc21;1191;979;1675;1004;919;1191;979;1675;1004;919;1191;979;1675
Cer1;0;0;1;0;1;0;0;1;0;1;0;0;1
Frem1;11;36;44;8;38;11;36;44;8;38;11;36;44
Ttc39b;3269;2233;2589;3316;3464;3269;2233;2589;3316;3464;3269;2233;2589
Snapc3;1698;1060;1931;1533;1421;1698;1060;1931;1533;1421;1698;1060;1931
Psip1;6803;10294;15286;6299;6924;6803;10294;15286;6299;6924;6803;10294;15286
Ccdc171;392;233;387;302;343;392;233;387;302;343;392;233;387
Bnc2;683;881;1053;870;1383;683;881;1053;870;1383;683;881;1053
Cntln;76;85;86;79;35;76;85;86;79;35;76;85;86
Sh3gl2;1189;1261;1891;1260;2174;1189;1261;1891;1260;2174;1189;1261;1891
Adamtsl1;80;204;291;148;454;80;204;291;148;454;80;204;291
Saxo1;7;5;9;15;3;7;5;9;15;3;7;5;9
Rraga;2420;2004;3912;1634;2148;2420;2004;3912;1634;2148;2420;2004;3912
Haus6;3483;4283;7344;4064;4380;3483;4283;7344;4064;4380;3483;4283;7344
Plin2;724;279;404;1614;886;724;279;404;1614;886;724;279;404
Dennd4c;1415;899;1381;1175;970;1415;899;1381;1175;970;1415;899;1381
Rps6;35976;36956;62033;36735;47658;35976;36956;62033;36735;47658;35976;36956;62033
Acer2;1848;2146;3298;1396;1601;1848;2146;3298;1396;1601;1848;2146;3298
Slc24a2;11;20;21;8;8;11;20;21;8;8;11;20;21
Mllt3;352;286;508;369;327;352;286;508;369;327;352;286;508
Focad;1334;932;1543;1262;1049;1334;932;1543;1262;1049;1334;932;1543
Hacd4;18;20;22;21;16;18;20;22;21;16;18;20;22
Ifnb1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna15;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna14;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna9;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna12;0;0;0;0;0;0;0;0;0;0;0;0;0
C87499;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna13;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna16;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna2;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifnab;0;0;0;0;0;0;0;0;0;0;0;0;0
Klhl9;1586;1376;2692;1252;1327;1586;1376;2692;1252;1327;1586;1376;2692
Gm26566;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13271;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm16686;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13283;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13290;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13289;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13272;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifnz;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13276;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13277;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13278;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13275;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13279;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13285;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13287;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm13288;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna7;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna11;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna6;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna5;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna4;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifna1;0;0;0;0;0;0;0;0;0;0;0;0;0
4930553M12Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Ifne;0;0;0;0;0;0;0;0;0;0;0;0;0
Mtap;3297;3370;5459;2915;2477;3297;3370;5459;2915;2477;3297;3370;5459
Cdkn2a;172;73;97;187;99;172;73;97;187;99;172;73;97
Cdkn2b;57;19;55;116;61;57;19;55;116;61;57;19;55
Dmrta1;2;11;11;0;12;2;11;11;0;12;2;11;11
Zfp352;0;0;0;0;0;0;0;0;0;0;0;0;0
Elavl2;888;1066;1602;1120;1479;888;1066;1602;1120;1479;888;1066;1602
Izumo3;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm12666;142;203;418;144;247;142;203;418;144;247;142;203;418
Tusc1;20;9;15;11;13;20;9;15;11;13;20;9;15
Caap1;560;660;982;597;616;560;660;982;597;616;560;660;982
Gm10306;2;0;0;0;1;2;0;0;0;1;2;0;0
Plaa;7335;8042;13339;6561;7434;7335;8042;13339;6561;7434;7335;8042;13339
Ift74;593;853;1281;580;610;593;853;1281;580;610;593;853;1281
Lrrc19;0;2;0;0;1;0;2;0;0;1;0;2;0
Tek;200;245;565;861;766;200;245;565;861;766;200;245;565
Eqtn;0;4;13;2;7;0;4;13;2;7;0;4;13
Mysm1;1352;1720;2892;1414;1947;1352;1720;2892;1414;1947;1352;1720;2892
Jun;150;207;575;117;152;150;207;575;117;152;150;207;575
Fggy;264;202;376;162;165;264;202;376;162;165;264;202;376
Hook1;4890;5572;8886;3854;4937;4890;5572;8886;3854;4937;4890;5572;8886
Cyp2j13;4;20;37;2;5;4;20;37;2;5;4;20;37
Cyp2j12;1;0;0;0;1;1;0;0;0;1;1;0;0
Cyp2j7;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyp2j11;9;1;4;1;4;9;1;4;1;4;9;1;4
Cyp2j8;2;0;0;0;2;2;0;0;0;2;2;0;0
Cyp2j6;39;16;41;46;41;39;16;41;46;41;39;16;41
Cyp2j9;29;16;37;21;34;29;16;37;21;34;29;16;37
Cyp2j5;1;2;3;0;0;1;2;3;0;0;1;2;3
Gm12695;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm10192;0;0;0;0;0;0;0;0;0;0;0;0;0
E130114P18Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Nfia;3;5;4;40;9;3;5;4;40;9;3;5;4
Tm2d1;319;231;560;289;190;319;231;560;289;190;319;231;560
Patj;557;526;1603;421;289;557;526;1603;421;289;557;526;1603
L1td1;28659;35574;56686;22036;28881;28659;35574;56686;22036;28881;28659;35574;56686
Kank4;89;37;60;179;81;89;37;60;179;81;89;37;60
I0C0044D17Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Usp1;6108;7244;10285;5955;6086;6108;7244;10285;5955;6086;6108;7244;10285
Dock7;1942;1942;3168;1443;1578;1942;1942;3168;1443;1578;1942;1942;3168
Angptl3;0;1;0;0;0;0;1;0;0;0;0;1;0
Atg4c;476;348;554;494;368;476;348;554;494;368;476;348;554
Gm10305;4;0;0;0;0;4;0;0;0;0;4;0;0
Gm12689;0;0;0;0;1;0;0;0;0;1;0;0;0
Gm37556;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37117;0;0;0;0;0;0;0;0;0;0;0;0;0
Foxd3;91;604;907;109;329;91;604;907;109;329;91;604;907
Alg6;988;911;1387;983;728;988;911;1387;983;728;988;911;1387
Itgb3bp;179;221;426;246;255;179;221;426;246;255;179;221;426
Efcab7;420;552;734;400;503;420;552;734;400;503;420;552;734
Pgm2;2738;1688;2450;847;1311;2738;1688;2450;847;1311;2738;1688;2450
Ror1;45;209;624;38;200;45;209;624;38;200;45;209;624
Ube2u;0;0;0;2;0;0;0;0;2;0;0;0;0
Cachd1;201;982;1526;207;1598;201;982;1526;207;1598;201;982;1526
Gm10577;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm10576;0;0;0;0;0;0;0;0;0;0;0;0;0
Raver2;372;891;1354;445;685;372;891;1354;445;685;372;891;1354
Jak1;1982;1199;2323;1847;1538;1982;1199;2323;1847;1538;1982;1199;2323
Ak4;7365;1444;2055;12833;2644;7365;1444;2055;12833;2644;7365;1444;2055
Dnajc6;823;118;185;2131;747;823;118;185;2131;747;823;118;185
Leprot;1606;1369;2012;2127;1523;1606;1369;2012;2127;1523;1606;1369;2012
Lepr;6;10;24;17;34;6;10;24;17;34;6;10;24
B020004J07Rik;0;0;4;0;0;0;0;4;0;0;0;0;4
C130073F10Rik;7;11;4;5;4;7;11;4;5;4;7;11;4
Gm12800;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm12794;0;5;2;0;0;0;5;2;0;0;0;5;2
Gm12790;0;0;0;1;0;0;0;0;1;0;0;0;0
Gm12789;0;0;0;0;0;0;0;0;0;0;0;0;0
Pde4b;14;39;85;1;7;14;39;85;1;7;14;39;85
Sgip1;18;51;99;26;57;18;51;99;26;57;18;51;99
Tctex1d1;0;2;0;0;3;0;2;0;0;3;0;2;0
Insl5;0;1;0;0;0;0;1;0;0;0;0;1;0
Wdr78;73;92;160;159;118;73;92;160;159;118;73;92;160
Mier1;2221;2461;4017;3168;3001;2221;2461;4017;3168;3001;2221;2461;4017
Slc35d1;514;590;1341;972;945;514;590;1341;972;945;514;590;1341
4921539E11Rik;2;1;7;1;1;2;1;7;1;1;2;1;7
Oma1;736;637;1395;729;677;736;637;1395;729;677;736;637;1395
Dab1;499;713;1276;371;1004;499;713;1276;371;1004;499;713;1276
C8b;19;17;10;6;1;19;17;10;6;1;19;17;10
C8a;0;6;0;0;0;0;6;0;0;0;0;6;0
Gm17662;0;0;0;0;0;0;0;0;0;0;0;0;0
Fyb2;4;7;20;4;5;4;7;20;4;5;4;7;20
Prkaa2;393;235;452;440;337;393;235;452;440;337;393;235;452
Plpp3;466;409;615;659;777;466;409;615;659;777;466;409;615
Gm12728;0;0;1;0;1;0;0;1;0;1;0;0;1
Gm37253;0;0;0;0;0;0;0;0;0;0;0;0;0
Usp24;4197;3732;7620;5810;6506;4197;3732;7620;5810;6506;4197;3732;7620
Pcsk9;102;461;1008;15;82;102;461;1008;15;82;102;461;1008
Bsnd;0;0;0;0;2;0;0;0;0;2;0;0;0
Dhcr24;6537;11097;19899;5050;10918;6537;11097;19899;5050;10918;6537;11097;19899
Lexm;289;84;88;188;62;289;84;88;188;62;289;84;88
Ttc22;0;0;3;0;1;0;0;3;0;1;0;0;3
Pars2;282;339;621;322;463;282;339;621;322;463;282;339;621
Ttc4;2090;2474;4073;2489;3066;2090;2474;4073;2489;3066;2090;2474;4073
Mroh7;39;20;21;53;13;39;20;21;53;13;39;20;21
Fam151a;8;0;2;3;0;8;0;2;3;0;8;0;2
Acot11;125;131;244;91;147;125;131;244;91;147;125;131;244
Ssbp3;2704;4470;9597;2999;4963;2704;4470;9597;2999;4963;2704;4470;9597
Mrpl37;2153;3169;5672;2694;4115;2153;3169;5672;2694;4115;2153;3169;5672
Cyb5rl;116;151;322;231;231;116;151;322;231;231;116;151;322
Cdcp2;1;1;0;2;0;1;1;0;2;0;1;1;0
Tceanc2;416;457;811;354;446;416;457;811;354;446;416;457;811
Tmem59;2267;1651;3252;2520;2111;2267;1651;3252;2520;2111;2267;1651;3252
Ldlrad1;0;0;0;0;0;0;0;0;0;0;0;0;0
Lrrc42;1717;2205;3320;1516;1882;1717;2205;3320;1516;1882;1717;2205;3320
Hspb11;189;152;187;209;172;189;152;187;209;172;189;152;187
Dio1;0;2;0;0;1;0;2;0;0;1;0;2;0
Yipf1;386;408;782;459;547;386;408;782;459;547;386;408;782
Ndc1;3246;3833;6850;6574;5911;3246;3833;6850;6574;5911;3246;3833;6850
Glis1;11;34;101;16;38;11;34;101;16;38;11;34;101
Dmrtb1;24;67;190;34;63;24;67;190;34;63;24;67;190
Lrp8os3;3;8;9;2;6;3;8;9;2;6;3;8;9
Lrp8;596;634;1247;260;327;596;634;1247;260;327;596;634;1247
Magoh;3388;4363;7103;3055;3499;3388;4363;7103;3055;3499;3388;4363;7103
0610037L13Rik;919;1018;2008;928;1487;919;1018;2008;928;1487;919;1018;2008
Cpt2;667;751;1275;512;533;667;751;1275;512;533;667;751;1275
Slc1a7;0;1;0;2;2;0;1;0;2;2;0;1;0
Podn;12;24;57;89;105;12;24;57;89;105;12;24;57
Scp2;2389;1940;2682;2358;2207;2389;1940;2682;2358;2207;2389;1940;2682
Echdc2;599;746;1221;643;1072;599;746;1221;643;1072;599;746;1221
Zyg11a;207;330;317;472;945;207;330;317;472;945;207;330;317
Zyg11b;1714;1781;2917;1409;1728;1714;1781;2917;1409;1728;1714;1781;2917
Coa7;749;1067;1908;805;1344;749;1067;1908;805;1344;749;1067;1908
Fam159a;42;38;39;22;39;42;38;39;22;39;42;38;39
Gpx7;259;315;514;171;260;259;315;514;171;260;259;315;514
Zcchc11;2803;2810;4171;2969;3397;2803;2810;4171;2969;3397;2803;2810;4171
Prpf38a;2995;3476;5848;3695;3735;2995;3476;5848;3695;3735;2995;3476;5848
